NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"890,201,881",AVIDESA MAC POLLO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0145,AGROPECUARIO,2.11,0.17,0.91,0.3,0.62,"2,022",Cría de ovejas y cabras
"830,010,738",CI SUNSHINE BOUQUET SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0125,AGROPECUARIO,1.61,0.02,1.58,1.15,0.43,"2,022",Cultivo de otros árboles y arbustos frutales y de nueces
"815,000,863",AVIDESA DE OCCIDENTE SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,BUGA-VALLE,0145,AGROPECUARIO,1.22,0.08,0.48,0.17,0.3,"2,022",Cría de ovejas y cabras
"891,401,858",OPERADORA AVICOLA COLOMBIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,0145,AGROPECUARIO,0.95,0.03,0.61,0.29,0.32,"2,022",Cría de ovejas y cabras
"890,200,474",INCUBADORA SANTANDER SA,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,PIEDECUESTA-SANTANDER,0145,AGROPECUARIO,0.77,0.03,0.77,0.54,0.24,"2,022",Cría de ovejas y cabras
"890,207,037",AGROPECUARIA ALIAR SA,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,FLORIDABLANCA-SANTANDER,0144,AGROPECUARIO,0.72,0.05,1.69,0.93,0.76,"2,022",Cría de cerdos
"860,058,831",AVICOLA LOS CAMBULOS SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0145,AGROPECUARIO,0.71,0.0,0.17,0.14,0.04,"2,022",Cría de ovejas y cabras
"800,000,276",AVICOLA EL MADROÑO SA,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,0145,AGROPECUARIO,0.64,0.02,0.28,0.18,0.1,"2,022",Cría de ovejas y cabras
"890,205,142",DISTRIBUIDORA AVICOLA SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,GIRON-SANTANDER,0145,AGROPECUARIO,0.62,0.03,0.31,0.22,0.09,"2,022",Cría de ovejas y cabras
"830,016,868",AGROAVICOLA SAN MARINO SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,PALMIRA-VALLE,0145,AGROPECUARIO,0.53,0.01,0.34,0.21,0.13,"2,022",Cría de ovejas y cabras
