NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"901,526,800",MARVAL HOLDING SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,4111,CONSTRUCCIÓN,2.3,2.31,2.16,0.02,2.14,"2,022",Construcción de edificios residenciales
"800,185,295",AMARILO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4111,CONSTRUCCIÓN,1.2,0.05,3.93,2.62,1.32,"2,022",Construcción de edificios residenciales
"890,901,110",CONSTRUCTORA CONCONCRETO SA,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4220,CONSTRUCCIÓN,1.03,0.05,3.02,1.55,1.47,"2,022",Construcción de proyectos de servicio público
"890,922,447",CONSTRUCCIONES EL CONDOR SA,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4210,CONSTRUCCIÓN,0.89,-0.07,2.45,1.46,0.99,"2,022",Construcción de carreteras y vías de ferrocarril
"900,373,092",YUMA CONCESIONARIA SA EN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4210,CONSTRUCCIÓN,0.86,0.0,2.69,2.63,0.06,"2,022",Construcción de carreteras y vías de ferrocarril
"890,209,174",ISMOCOL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4290,CONSTRUCCIÓN,0.77,0.11,0.59,0.17,0.42,"2,022",Construcción de otras obras de ingeniería civil
"900,475,730",CONSTRUCTORA ARIGUANI S A S - EN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4210,CONSTRUCCIÓN,0.76,0.01,0.65,0.66,-0.01,"2,022",Construcción de carreteras y vías de ferrocarril
"890,930,545",MINCIVIL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4290,CONSTRUCCIÓN,0.7,0.18,1.04,0.49,0.55,"2,022",Construcción de otras obras de ingeniería civil
"800,094,968",JARAMILLO MORA CONSTRUCTORA SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4111,CONSTRUCCIÓN,0.69,0.09,1.02,0.58,0.44,"2,022",Construcción de edificios residenciales
"890,205,645",MARVAL SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,4111,CONSTRUCCIÓN,0.68,0.12,1.92,1.19,0.73,"2,022",Construcción de edificios residenciales
"800,093,117",ARQUITECTURA Y CONCRETO SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4111,CONSTRUCCIÓN,0.68,0.1,2.47,1.5,0.97,"2,022",Construcción de edificios residenciales
