NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"900,112,515",REFINERIA DE CARTAGENA SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,1921,MANUFACTURA,27.86,2.19,42.84,16.48,26.36,"2,022",Fabricación de productos de hornos de coque
"860,005,224",BAVARIA & CIA SCA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1103,MANUFACTURA,6.96,1.72,10.68,7.53,3.15,"2,022","Producción de malta, elaboración de cervezas y otras bebidas malteadas"
"890,903,858",INDUSTRIA NACIONAL DE GASEOSAS SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1104,MANUFACTURA,4.05,0.04,2.34,1.48,0.86,"2,022","Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas"
"860,025,792",RENAULT SOCIEDAD DE FABRICACION DE AUTOMOTORES SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,2910,MANUFACTURA,3.73,0.19,1.04,0.65,0.39,"2,022",Fabricación de vehículos automotores y sus motores
"800,059,470",ESENTTIA SA,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,2013,MANUFACTURA,3.7,0.25,3.67,0.63,3.04,"2,022",Fabricación de plásticos en formas primarias
"860,002,304",GENERAL MOTORS COLMOTORES SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2910,MANUFACTURA,3.57,0.07,2.13,1.4,0.73,"2,022",Fabricación de vehículos automotores y sus motores
"890,901,271",CONTEGRAL SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,1090,MANUFACTURA,3.52,0.11,1.3,0.78,0.52,"2,022",Elaboración de alimentos preparados para animales
"860,026,895",ITALCOL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1090,MANUFACTURA,3.44,0.06,1.02,0.65,0.37,"2,022",Elaboración de alimentos preparados para animales
"890,304,130",ALIMENTOS CARNICOS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1011,MANUFACTURA,2.78,0.16,3.04,1.65,1.39,"2,022",Procesamiento y conservación de carne y productos cárnicos
"860,006,333",YARA COLOMBIA SA,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,2012,MANUFACTURA,2.75,0.38,1.69,0.64,1.05,"2,022",Fabricación de abonos y compuestos inorgánicos nitrogenados
"860,007,277",MEXICHEM RESINAS COLOMBIA SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,2013,MANUFACTURA,2.73,0.2,1.19,0.25,0.94,"2,022",Fabricación de plásticos en formas primarias
"890,900,291",SOLLA SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,1090,MANUFACTURA,2.67,0.09,1.08,0.68,0.4,"2,022",Elaboración de alimentos preparados para animales
"860,004,828",ALIMENTOS FINCA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,1090,MANUFACTURA,2.64,0.06,1.19,0.76,0.43,"2,022",Elaboración de alimentos preparados para animales
"890,903,939",POSTOBON SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1104,MANUFACTURA,2.6,0.01,3.43,1.97,1.46,"2,022","Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas"
"860,001,697",GASEOSAS LUX SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1104,MANUFACTURA,2.55,0.09,2.07,1.11,0.96,"2,022","Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas"
"890,301,884",COLOMBINA S A,SUPERFINANCIERA,Costa Pacífica,VALLE,ZARZAL-VALLE,1082,MANUFACTURA,2.49,0.16,2.26,1.72,0.54,"2,022","Elaboración de cacao, chocolate y productos de confitería"
"890,100,251",CEMENTOS ARGOS SA,SUPERFINANCIERA,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,2394,MANUFACTURA,2.48,0.14,17.45,6.15,11.3,"2,022","Fabricación de cemento, cal y yeso"
