NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"899,999,068",ECOPETROL SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,144.82,33.41,216.85,125.81,91.03,"2,022",Extracción de petróleo crudo
"860,069,804",CARBONES DEL CERREJON LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,16.39,6.05,10.45,9.0,1.45,"2,022",Extracción de hulla (carbón de piedra)
"800,021,308",DRUMMOND LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,15.27,2.16,14.27,6.34,7.93,"2,022",Extracción de hulla (carbón de piedra)
"830,078,038",CERREJON ZONA NORTE SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,7.2,2.84,7.95,3.36,4.59,"2,022",Extracción de hulla (carbón de piedra)
"900,268,747",PAREX RESOURCES (COLOMBIA) AG SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,5.5,2.49,11.62,5.53,6.09,"2,022",Extracción de petróleo crudo
"830,126,302",FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,5.15,1.62,8.7,2.07,6.63,"2,022",Extracción de petróleo crudo
"900,331,322",VERANO ENERGY (SWITZERLAND) AG SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,4.72,0.78,12.25,9.46,2.79,"2,022",Extracción de petróleo crudo
"900,493,698",GEOPARK COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,4.14,1.21,4.6,2.53,2.07,"2,022",Extracción de petróleo crudo
"860,069,378",CERRO MATOSO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0723,MINERO,3.9,1.29,3.47,1.55,1.92,"2,022",Extracción de minerales de níquel y otros minerales de la familia del níquel
"860,072,134",HOCOL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,3.25,0.53,4.87,2.06,2.81,"2,022",Extracción de petróleo crudo
"860,041,312",CI PRODECO SA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,0510,MINERO,2.82,0.98,2.37,0.57,1.79,"2,022",Extracción de hulla (carbón de piedra)
"860,053,930",SIERRACOL ENERGY ARAUCA LLC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,2.28,0.97,1.1,0.85,0.25,"2,022",Extracción de petróleo crudo
"860,004,864",SIERRACOL ENERGY ANDINA LLC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,2.02,0.4,3.64,1.49,2.14,"2,022",Extracción de petróleo crudo
"900,166,687",CONTINENTAL GOLD LIMITED SUCURSAL COLOMBIA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0722,MINERO,1.88,0.13,5.54,3.33,2.21,"2,022",Extracción de minerales de metales preciosos
"900,196,778",ONGC VIDESH LIMITED SUCURSAL COLOMBIANA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,1.88,0.49,1.8,1.85,-0.04,"2,022",Extracción de petróleo crudo
"860,516,431",GRAN TIERRA ENERGY COLOMBIA LLC SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,1.78,0.45,3.17,1.22,1.95,"2,022",Extracción de petróleo crudo
"900,306,309",ARIS MINING SEGOVIA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0722,MINERO,1.69,0.45,1.4,0.35,1.05,"2,022",Extracción de minerales de metales preciosos
"830,037,774",DRUMMOND COAL MINING LLC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,1.36,0.36,1.08,0.25,0.83,"2,022",Extracción de hulla (carbón de piedra)
"860,051,812",HALLIBURTON LATIN AMERICA SRL SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,1.33,0.02,0.87,0.3,0.56,"2,022",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,335,237",GRAN TIERRA COLOMBIA INC SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,1.27,0.15,2.06,0.62,1.44,"2,022",Extracción de petróleo crudo
"860,002,175",SCHLUMBERGER SURENCO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,1.25,-0.05,1.64,0.39,1.25,"2,022",Actividades de apoyo para la extracción de petróleo y de gas natural
"800,206,842",BAKER HUGHES DE COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,1.13,0.05,0.78,0.27,0.51,"2,022",Actividades de apoyo para la extracción de petróleo y de gas natural
