NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"890,904,996",EMPRESAS PÚBLICAS DE MEDELLÍN ESP,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,3513,SERVICIOS,15.07,3.04,59.47,30.24,29.23,"2,022",Distribución de energía eléctrica
"900,156,264",NUEVA EPS SA,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,14.78,0.01,5.91,5.43,0.49,"2,022",Actividades de planes de seguridad social de afiliación obligatoria
"800,153,993",COMUNICACIÓN CELULAR SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6120,SERVICIOS,14.63,1.79,23.43,14.67,8.76,"2,022",Actividades de telecomunicaciones inalámbricas
"890,100,577",AVIANCA,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTÁ-BOGOTA D.C.,5111,SERVICIOS,11.44,-0.8,17.89,19.33,-1.45,"2,022",Transporte aéreo nacional de pasajeros
"860,063,875",EMGESA SA ESP,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,3511,SERVICIOS,10.87,2.86,27.06,11.89,15.17,"2,022",Generación de energía eléctrica
"800,088,702",EPS SURA,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8430,SERVICIOS,9.3,-0.14,2.1,1.87,0.24,"2,022",Actividades de planes de seguridad social de afiliación obligatoria
"800,251,440",EPS SANITAS SA,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,8.72,-0.3,2.47,2.39,0.08,"2,022",Actividades de planes de seguridad social de afiliación obligatoria
"900,531,210",CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4930,SERVICIOS,8.53,4.58,19.56,2.35,17.21,"2,022",Transporte público automotor
"830,122,566",COLOMBIA TELECOMUNICACIONES SA ESP - TELEFONICA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6110,SERVICIOS,7.86,-0.07,14.83,10.07,4.75,"2,022",Actividades de telecomunicaciones alámbricas
"800,130,907",SALUD TOTAL SA EPS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,6.21,0.17,3.22,2.81,0.41,"2,022",Actividades de planes de seguridad social de afiliación obligatoria
"800,251,163",OLEODUCTO CENTRAL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4930,SERVICIOS,5.52,2.84,8.71,3.83,4.88,"2,022",Transporte público automotor
"800,249,860",CELSIA COLOMBIA SA ESP ANTES EMPRESA DE ENERGIA DEL PACIFICO SA ESP- EPSA,SUPERFINANCIERA,Costa Pacífica,VALLE,YUMBO-VALLE,3513,SERVICIOS,4.92,0.47,11.11,6.63,4.48,"2,022",Distribución de energía eléctrica
"811,000,740",ISAGEN SA ESP,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,3511,SERVICIOS,4.82,1.23,23.81,18.24,5.56,"2,022",Generación de energía eléctrica
"860,066,942",COMPENSAR,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7010,SERVICIOS,4.42,-0.13,1.91,1.41,0.5,"2,022",Actividades de administración empresarial
"900,604,350",SAVIA SALUD EPS,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8430,SERVICIOS,2.51,-0.15,0.22,0.79,-0.57,"2,022",Actividades de planes de seguridad social de afiliación obligatoria
"900,226,715",COOSALUD,SUPERSALUD,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,8430,SERVICIOS,4.08,0.12,1.12,0.79,0.33,"2,022",Actividades de planes de seguridad social de afiliación obligatoria
