NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"899,999,068",ECOPETROL SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,84.95,16.69,171.6,99.87,71.73,"2,021",Extracción de petróleo crudo
"830,095,213",ORGANIZACIÓN TERPEL SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,17.01,0.38,6.34,3.76,2.57,"2,021","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"900,112,515",REFINERIA DE CARTAGENA SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,1921,MANUFACTURA,15.5,-0.37,35.44,15.01,20.43,"2,021",Fabricación de productos de hornos de coque
"800,153,993",COMUNICACIÓN CELULAR SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6120,SERVICIOS,14.64,1.99,21.38,12.51,8.87,"2,021",Actividades de telecomunicaciones inalámbricas
"890,900,608",ALMACENES EXITO S A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,4711,COMERCIO,13.03,0.47,14.42,7.54,6.88,"2,021","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"890,904,996",EMPRESAS PÚBLICAS DE MEDELLÍN ESP,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,3513,SERVICIOS,12.87,3.37,55.99,27.93,28.06,"2,021",Distribución de energía eléctrica
"900,156,264",NUEVA EPS SA,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,12.32,0.04,6.13,5.76,0.37,"2,021",Actividades de planes de seguridad social de afiliación obligatoria
"900,276,962",D1 SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,9.95,0.17,4.13,4.0,0.13,"2,021","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"890,900,943",COLOMBIANA DE COMERCIO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4741,COMERCIO,9.09,0.37,4.59,2.35,2.23,"2,021","Comercio al por menor de computadores, equipo periférico, programas de informática y equipo de telecomunicaciones en establecimientos especializados"
"800,021,308",DRUMMOND LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,8.49,0.83,10.65,4.21,6.44,"2,021",Extracción de hulla (carbón de piedra)
"800,088,702",EPS SURA,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8430,SERVICIOS,8.15,0.02,2.09,1.7,0.39,"2,021",Actividades de planes de seguridad social de afiliación obligatoria
"900,531,210",CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4930,SERVICIOS,8.05,4.96,19.15,2.18,16.97,"2,021",Transporte público automotor
"900,818,921",KOPPS COMMERCIAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4632,COMERCIO,7.96,0.6,4.06,3.27,0.79,"2,021",Comercio al por mayor de bebidas y tabaco
"800,251,440",EPS SANITAS SA,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,7.22,0.07,2.58,2.2,0.37,"2,021",Actividades de planes de seguridad social de afiliación obligatoria
"890,107,487",SUPERTIENDAS Y DROGUERIAS OLIMPICA SA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4711,COMERCIO,6.63,0.13,4.65,3.02,1.64,"2,021","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"860,069,804",CARBONES DEL CERREJON LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,6.56,1.57,6.81,4.1,2.71,"2,021",Extracción de hulla (carbón de piedra)
"830,037,248",CODENSA SA ESP,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,3514,SERVICIOS,6.41,0.98,9.1,5.85,3.25,"2,021",Comercialización de energía eléctrica
"860,002,554",PRIMAX COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,6.1,0.06,1.69,1.21,0.48,"2,021","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"860,005,224",BAVARIA & CIA SCA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1103,MANUFACTURA,6.0,2.76,10.25,6.46,3.79,"2,021","Producción de malta, elaboración de cervezas y otras bebidas malteadas"
"830,122,566",COLOMBIA TELECOMUNICACIONES SA ESP - TELEFONICA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6110,SERVICIOS,5.91,0.1,13.42,8.39,5.03,"2,021",Actividades de telecomunicaciones alámbricas
"900,480,569",JERONIMO MARTINS COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,5.34,-0.28,3.84,3.72,0.12,"2,021","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"800,242,106",SODIMAC COLOMBIA SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4774,COMERCIO,5.25,0.35,3.65,2.4,1.25,"2,021",Comercio al por menor de artículos médicos y ortopédicos en establecimientos especializados
"800,130,907",SALUD TOTAL SA EPS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,4.81,0.14,2.46,2.09,0.37,"2,021",Actividades de planes de seguridad social de afiliación obligatoria
"860,063,875",EMGESA SA ESP,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,3511,SERVICIOS,4.73,1.71,9.04,3.93,5.1,"2,021",Generación de energía eléctrica
"800,251,163",OLEODUCTO CENTRAL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4930,SERVICIOS,4.62,2.54,7.07,3.12,3.95,"2,021",Transporte público automotor
"890,100,577",AVIANCA,SUPERTRANSPORTE,Costa Atlántica,BOGOTA D.C.,BOGOTÁ-BOGOTA D.C.,5111,SERVICIOS,4.39,-2.1,11.04,11.28,-0.24,"2,021",Transporte aéreo nacional de pasajeros
"860,066,942",COMPENSAR,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7010,SERVICIOS,4.26,-0.07,1.86,1.27,0.59,"2,021",Actividades de administración empresarial
"900,155,107",CENCOSUD COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,4.15,0.03,6.08,2.1,3.99,"2,021","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"900,585,067",CI TRAFIGURA PETROLEUM COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,4.03,0.02,0.73,0.68,0.05,"2,021","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"800,059,470",ESENTTIA SA,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,2013,MANUFACTURA,3.87,0.34,3.29,0.83,2.46,"2,021",Fabricación de plásticos en formas primarias
"800,216,181",GRUPO AVAL ACCIONES Y VALORES S A,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4799,COMERCIO,3.74,3.5,25.57,2.1,23.48,"2,021","Otro comercio al por menor no realizado en establecimientos, puestos de venta o mercados"
"830,028,931",SAMSUNG ELECTRONICS COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4652,COMERCIO,3.74,0.02,2.07,1.85,0.22,"2,021","Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones"
"830,003,564",FAMISANAR LTDA CAFAM - COLSUBSIDIO EPS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,3.59,0.0,1.05,0.91,0.14,"2,021",Actividades de planes de seguridad social de afiliación obligatoria
"800,249,860",CELSIA COLOMBIA SA ESP ANTES EMPRESA DE ENERGIA DEL PACIFICO SA ESP- EPSA,SUPERFINANCIERA,Costa Pacífica,VALLE,YUMBO-VALLE,3513,SERVICIOS,3.58,0.52,9.26,4.98,4.28,"2,021",Distribución de energía eléctrica
"811,000,740",ISAGEN SA ESP,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,3511,SERVICIOS,3.49,0.52,21.12,15.44,5.68,"2,021",Generación de energía eléctrica
